date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:35:47	7639/7639	---M--	200	added ('OK')	image/png	etag:%2216024c-1dd7-53e3836cb42c5%22	http://www.utah.edu/_images/future-students/find-your-counselor.png	C:/My%20Web%20Sites/utah/www.utah.edu/_images/future-students/find-your-counselor.png	(from http://www.utah.edu/future-students/archive.php)
05:35:50	20300/20300	---M--	200	added ('OK')	image/jpeg	etag:%221602af-4f4c-53e3836cb42c5%22	http://www.utah.edu/_images/future-students/side-my-u-sig-exp.jpg	C:/My%20Web%20Sites/utah/www.utah.edu/_images/future-students/side-my-u-sig-exp.jpg	(from http://www.utah.edu/future-students/archive.php)
05:35:50	15759/15759	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202016%2005:35:50%20GMT	http://www.utah.edu/innovate/images/sample-header-photo.jpg	C:/My%20Web%20Sites/utah/www.utah.edu/innovate/images/sample-header-photo.jpg	(from http://www.utah.edu/innovate/global.css)
05:35:52	5070/5070	---M--	200	added ('OK')	image/png	etag:%2216027c-13ce-53e3836dbec65%22	http://www.utah.edu/innovate/images/sprite_ulogo.png	C:/My%20Web%20Sites/utah/www.utah.edu/innovate/images/sprite_ulogo.png	(from http://www.utah.edu/innovate/global.css)
05:35:53	4119/4119	---M--	200	added ('OK')	image/png	etag:%221603b5-1017-53e3836dbec65%22	http://www.utah.edu/innovate/images/sprite_tools.png	C:/My%20Web%20Sites/utah/www.utah.edu/innovate/images/sprite_tools.png	(from http://www.utah.edu/innovate/global.css)
05:35:57	24305/24305	---M--	200	added ('OK')	image/png	etag:%2216038f-5ef1-53e3836dbec65%22	http://www.utah.edu/innovate/images/sprite_elements.png	C:/My%20Web%20Sites/utah/www.utah.edu/innovate/images/sprite_elements.png	(from http://www.utah.edu/innovate/global.css)
05:35:57	260/260	---M--	200	added ('OK')	image/png	etag:%221603aa-104-53e3836dbcd25%22	http://www.utah.edu/innovate/images/arrow_left.png	C:/My%20Web%20Sites/utah/www.utah.edu/innovate/images/arrow_left.png	(from http://www.utah.edu/innovate/global.css)
05:35:58	4118/4118	---M--	200	added ('OK')	image/png	etag:%22160360-1016-53e3836dbdcc5%22	http://www.utah.edu/innovate/images/bg_header_extent.png	C:/My%20Web%20Sites/utah/www.utah.edu/innovate/images/bg_header_extent.png	(from http://www.utah.edu/innovate/global.css)
05:36:11	75505/75505	---M--	200	added ('OK')	image/png	etag:%22160301-126f1-53e3836dbec65%22	http://www.utah.edu/innovate/images/mtn-header-bg.png	C:/My%20Web%20Sites/utah/www.utah.edu/innovate/images/mtn-header-bg.png	(from http://www.utah.edu/innovate/innovate.css)
05:36:18	44298/44298	---M--	200	added ('OK')	image/png	etag:%22160312-ad0a-53e3836dbec65%22	http://www.utah.edu/innovate/images/mtn-section-bg.png	C:/My%20Web%20Sites/utah/www.utah.edu/innovate/images/mtn-section-bg.png	(from http://www.utah.edu/innovate/innovate.css)
